task_id,application,players,replicate,seed,budget,method,mse,efficiency_error,data_sha256,source_path
dv_rf_bike_sharing,Bike Sharing data valuation / random forest,10,3,3,24,LeverageSHAP,0.03421459420051967,5.551115123125783e-16,baf190311bb4b96b589766715e48ce8b0e606124c37f6be1dc74be4b8e0daac4,data/precomputed_games/BikeSharing_DatasetValuation_Game/10/model_name=random_forest_player_sizes=increasing_n_players=10_3.npz
dv_rf_bike_sharing,Bike Sharing data valuation / random forest,10,3,3,24,ShaplEIG,0.0004977557014589436,1.0396339900076157e-06,baf190311bb4b96b589766715e48ce8b0e606124c37f6be1dc74be4b8e0daac4,data/precomputed_games/BikeSharing_DatasetValuation_Game/10/model_name=random_forest_player_sizes=increasing_n_players=10_3.npz
dv_rf_bike_sharing,Bike Sharing data valuation / random forest,10,3,3,32,KernelSHAP,0.013876649421384205,9.02360952625969e-09,baf190311bb4b96b589766715e48ce8b0e606124c37f6be1dc74be4b8e0daac4,data/precomputed_games/BikeSharing_DatasetValuation_Game/10/model_name=random_forest_player_sizes=increasing_n_players=10_3.npz
dv_rf_bike_sharing,Bike Sharing data valuation / random forest,10,3,3,32,PermutationSampling,0.029395040106599248,0.0,baf190311bb4b96b589766715e48ce8b0e606124c37f6be1dc74be4b8e0daac4,data/precomputed_games/BikeSharing_DatasetValuation_Game/10/model_name=random_forest_player_sizes=increasing_n_players=10_3.npz
dv_rf_bike_sharing,Bike Sharing data valuation / random forest,10,3,3,32,RegressionMSR,0.001882889037196846,2.929918991867453e-07,baf190311bb4b96b589766715e48ce8b0e606124c37f6be1dc74be4b8e0daac4,data/precomputed_games/BikeSharing_DatasetValuation_Game/10/model_name=random_forest_player_sizes=increasing_n_players=10_3.npz
dv_rf_bike_sharing,Bike Sharing data valuation / random forest,10,3,3,32,LeverageSHAP,0.013876650105819307,3.3306690738754696e-16,baf190311bb4b96b589766715e48ce8b0e606124c37f6be1dc74be4b8e0daac4,data/precomputed_games/BikeSharing_DatasetValuation_Game/10/model_name=random_forest_player_sizes=increasing_n_players=10_3.npz
dv_rf_bike_sharing,Bike Sharing data valuation / random forest,10,3,3,32,ShaplEIG,1.1007808453257222e-05,1.1157838191167002e-06,baf190311bb4b96b589766715e48ce8b0e606124c37f6be1dc74be4b8e0daac4,data/precomputed_games/BikeSharing_DatasetValuation_Game/10/model_name=random_forest_player_sizes=increasing_n_players=10_3.npz
dv_rf_bike_sharing,Bike Sharing data valuation / random forest,10,3,3,48,KernelSHAP,0.011762945199657154,9.10384534424935e-09,baf190311bb4b96b589766715e48ce8b0e606124c37f6be1dc74be4b8e0daac4,data/precomputed_games/BikeSharing_DatasetValuation_Game/10/model_name=random_forest_player_sizes=increasing_n_players=10_3.npz
dv_rf_bike_sharing,Bike Sharing data valuation / random forest,10,3,3,48,PermutationSampling,0.010747258661056757,1.1102230246251565e-16,baf190311bb4b96b589766715e48ce8b0e606124c37f6be1dc74be4b8e0daac4,data/precomputed_games/BikeSharing_DatasetValuation_Game/10/model_name=random_forest_player_sizes=increasing_n_players=10_3.npz
dv_rf_bike_sharing,Bike Sharing data valuation / random forest,10,3,3,48,RegressionMSR,0.0023595092944906485,6.720788406910927e-07,baf190311bb4b96b589766715e48ce8b0e606124c37f6be1dc74be4b8e0daac4,data/precomputed_games/BikeSharing_DatasetValuation_Game/10/model_name=random_forest_player_sizes=increasing_n_players=10_3.npz
