application,replicate,budget,method,mse,efficiency_error,data_sha256
ImageNet ViT-9 local explanation,7,64,ShaplEIG,8.720290977511803e-05,2.1978886198814607e-06,0c3fdb954775e41fb7b0e6b4ba74decbacfd6b1f3c538e024899901512b56726
ImageNet ViT-9 local explanation,8,16,GP-LeverageSHAP,0.007335875598397468,1.541614064182184e-07,5afb4dd2ee02deb7dab6197c631e403b9078e4767f76d0b7ece819486bab0f4a
ImageNet ViT-9 local explanation,8,16,GP-random,0.006607493569299113,2.2442218672313885e-07,5afb4dd2ee02deb7dab6197c631e403b9078e4767f76d0b7ece819486bab0f4a
ImageNet ViT-9 local explanation,8,16,GP-uncertainty,0.005923521429444545,4.8642196937009885e-08,5afb4dd2ee02deb7dab6197c631e403b9078e4767f76d0b7ece819486bab0f4a
ImageNet ViT-9 local explanation,8,16,ShaplEIG,0.0047022319040725515,2.9295093351144885e-07,5afb4dd2ee02deb7dab6197c631e403b9078e4767f76d0b7ece819486bab0f4a
ImageNet ViT-9 local explanation,8,24,GP-LeverageSHAP,0.0020218643396621738,3.821602571341121e-06,5afb4dd2ee02deb7dab6197c631e403b9078e4767f76d0b7ece819486bab0f4a
ImageNet ViT-9 local explanation,8,24,GP-random,0.0022397976655366514,5.066736236125635e-08,5afb4dd2ee02deb7dab6197c631e403b9078e4767f76d0b7ece819486bab0f4a
ImageNet ViT-9 local explanation,8,24,GP-uncertainty,0.0023626662745869853,6.032703941949435e-08,5afb4dd2ee02deb7dab6197c631e403b9078e4767f76d0b7ece819486bab0f4a
ImageNet ViT-9 local explanation,8,24,ShaplEIG,0.002038511964912635,2.6878187081580407e-07,5afb4dd2ee02deb7dab6197c631e403b9078e4767f76d0b7ece819486bab0f4a
ImageNet ViT-9 local explanation,8,32,GP-LeverageSHAP,0.00046858273074016694,1.5378617902461755e-06,5afb4dd2ee02deb7dab6197c631e403b9078e4767f76d0b7ece819486bab0f4a
ImageNet ViT-9 local explanation,8,32,GP-random,0.0012301052319333367,2.0658406219009606e-07,5afb4dd2ee02deb7dab6197c631e403b9078e4767f76d0b7ece819486bab0f4a
