application,replicate,budget,method,mse,efficiency_error,data_sha256
ImageNet ViT-9 local explanation,2,64,UnbiasedKernelSHAP,0.004019839019034356,1.1102230246251565e-16,c1f01f7c8e065ab85e73113550007137d7cc344fa315de4e35b32dcc94100ece
ImageNet ViT-9 local explanation,2,64,PermutationSampling,0.0026568506796484956,0.0,c1f01f7c8e065ab85e73113550007137d7cc344fa315de4e35b32dcc94100ece
ImageNet ViT-9 local explanation,2,64,RegressionMSR,0.000336479724702999,2.7839178073918447e-08,c1f01f7c8e065ab85e73113550007137d7cc344fa315de4e35b32dcc94100ece
ImageNet ViT-9 local explanation,2,64,LeverageSHAP,0.0002636529172369334,0.0,c1f01f7c8e065ab85e73113550007137d7cc344fa315de4e35b32dcc94100ece
ImageNet ViT-9 local explanation,3,16,ShaplEIG,0.0005281298149512638,2.037486287465029e-07,b12268d3e39bab74b2c68d3f6a4cb34bb2a0ba06fb5b7ddccbbef95280e236b1
ImageNet ViT-9 local explanation,3,16,ShaplEIG-fixed,0.000677435221336121,5.622607784694367e-06,b12268d3e39bab74b2c68d3f6a4cb34bb2a0ba06fb5b7ddccbbef95280e236b1
ImageNet ViT-9 local explanation,3,16,GP-random,0.00041060219021243395,5.955238766008897e-07,b12268d3e39bab74b2c68d3f6a4cb34bb2a0ba06fb5b7ddccbbef95280e236b1
ImageNet ViT-9 local explanation,3,16,GP-uncertainty,0.0003999782223605468,6.383475364413194e-07,b12268d3e39bab74b2c68d3f6a4cb34bb2a0ba06fb5b7ddccbbef95280e236b1
ImageNet ViT-9 local explanation,3,16,GP-LeverageSHAP,0.0007795052806480184,3.597129756283124e-07,b12268d3e39bab74b2c68d3f6a4cb34bb2a0ba06fb5b7ddccbbef95280e236b1
ImageNet ViT-9 local explanation,3,16,KernelSHAP,0.003990104455820535,4.981240087076344e-09,b12268d3e39bab74b2c68d3f6a4cb34bb2a0ba06fb5b7ddccbbef95280e236b1
ImageNet ViT-9 local explanation,3,16,SVARM,0.0022958395726569675,0.16203561045781334,b12268d3e39bab74b2c68d3f6a4cb34bb2a0ba06fb5b7ddccbbef95280e236b1
ImageNet ViT-9 local explanation,3,16,UnbiasedKernelSHAP,0.006695813639828884,0.0,b12268d3e39bab74b2c68d3f6a4cb34bb2a0ba06fb5b7ddccbbef95280e236b1
ImageNet ViT-9 local explanation,3,16,PermutationSampling,0.015935553392673888,0.0,b12268d3e39bab74b2c68d3f6a4cb34bb2a0ba06fb5b7ddccbbef95280e236b1
ImageNet ViT-9 local explanation,3,16,RegressionMSR,0.001185914521604839,1.3185126590542495e-07,b12268d3e39bab74b2c68d3f6a4cb34bb2a0ba06fb5b7ddccbbef95280e236b1
ImageNet ViT-9 local explanation,3,16,LeverageSHAP,0.0039901045227888,4.440892098500626e-16,b12268d3e39bab74b2c68d3f6a4cb34bb2a0ba06fb5b7ddccbbef95280e236b1
ImageNet ViT-9 local explanation,3,24,ShaplEIG,0.00042125792424026876,9.466584980355464e-07,b12268d3e39bab74b2c68d3f6a4cb34bb2a0ba06fb5b7ddccbbef95280e236b1
ImageNet ViT-9 local explanation,3,24,ShaplEIG-fixed,0.0006084889595274427,8.133918967812015e-06,b12268d3e39bab74b2c68d3f6a4cb34bb2a0ba06fb5b7ddccbbef95280e236b1
ImageNet ViT-9 local explanation,3,24,GP-random,0.0025099495970699864,2.3410488146025088e-05,b12268d3e39bab74b2c68d3f6a4cb34bb2a0ba06fb5b7ddccbbef95280e236b1
ImageNet ViT-9 local explanation,3,24,GP-uncertainty,0.0002364215398975971,8.181450235067445e-07,b12268d3e39bab74b2c68d3f6a4cb34bb2a0ba06fb5b7ddccbbef95280e236b1
ImageNet ViT-9 local explanation,3,24,GP-LeverageSHAP,0.0005136265866224781,4.432516412800069e-06,b12268d3e39bab74b2c68d3f6a4cb34bb2a0ba06fb5b7ddccbbef95280e236b1
ImageNet ViT-9 local explanation,3,24,KernelSHAP,0.004925365388937075,5.178897310997854e-09,b12268d3e39bab74b2c68d3f6a4cb34bb2a0ba06fb5b7ddccbbef95280e236b1
ImageNet ViT-9 local explanation,3,24,SVARM,0.002205041262780141,0.1907982742446217,b12268d3e39bab74b2c68d3f6a4cb34bb2a0ba06fb5b7ddccbbef95280e236b1
ImageNet ViT-9 local explanation,3,24,UnbiasedKernelSHAP,0.004719843503602774,0.0,b12268d3e39bab74b2c68d3f6a4cb34bb2a0ba06fb5b7ddccbbef95280e236b1
ImageNet ViT-9 local explanation,3,24,PermutationSampling,0.006520864186245898,0.0,b12268d3e39bab74b2c68d3f6a4cb34bb2a0ba06fb5b7ddccbbef95280e236b1
ImageNet ViT-9 local explanation,3,24,RegressionMSR,0.0007314949640161934,7.420658221235499e-08,b12268d3e39bab74b2c68d3f6a4cb34bb2a0ba06fb5b7ddccbbef95280e236b1
ImageNet ViT-9 local explanation,3,24,LeverageSHAP,0.004925364469199912,2.7755575615628914e-16,b12268d3e39bab74b2c68d3f6a4cb34bb2a0ba06fb5b7ddccbbef95280e236b1
ImageNet ViT-9 local explanation,3,32,ShaplEIG,0.0004823295312704227,7.426315442593534e-07,b12268d3e39bab74b2c68d3f6a4cb34bb2a0ba06fb5b7ddccbbef95280e236b1
ImageNet ViT-9 local explanation,3,32,ShaplEIG-fixed,0.0007113874886855927,8.62681401198051e-06,b12268d3e39bab74b2c68d3f6a4cb34bb2a0ba06fb5b7ddccbbef95280e236b1
ImageNet ViT-9 local explanation,3,32,GP-random,0.0006142621123748105,8.239978891433353e-07,b12268d3e39bab74b2c68d3f6a4cb34bb2a0ba06fb5b7ddccbbef95280e236b1
ImageNet ViT-9 local explanation,3,32,GP-uncertainty,0.00024647004011785667,9.993306584465955e-07,b12268d3e39bab74b2c68d3f6a4cb34bb2a0ba06fb5b7ddccbbef95280e236b1
ImageNet ViT-9 local explanation,3,32,GP-LeverageSHAP,0.0005240129822238294,1.9841364434780573e-07,b12268d3e39bab74b2c68d3f6a4cb34bb2a0ba06fb5b7ddccbbef95280e236b1
ImageNet ViT-9 local explanation,3,32,KernelSHAP,0.004491964412491073,4.772583273027209e-09,b12268d3e39bab74b2c68d3f6a4cb34bb2a0ba06fb5b7ddccbbef95280e236b1
ImageNet ViT-9 local explanation,3,32,SVARM,0.0017799288629194428,0.19009289491961934,b12268d3e39bab74b2c68d3f6a4cb34bb2a0ba06fb5b7ddccbbef95280e236b1
ImageNet ViT-9 local explanation,3,32,UnbiasedKernelSHAP,0.00217267962013471,5.551115123125783e-17,b12268d3e39bab74b2c68d3f6a4cb34bb2a0ba06fb5b7ddccbbef95280e236b1
ImageNet ViT-9 local explanation,3,32,PermutationSampling,0.004410603079367016,0.0,b12268d3e39bab74b2c68d3f6a4cb34bb2a0ba06fb5b7ddccbbef95280e236b1
ImageNet ViT-9 local explanation,3,32,RegressionMSR,0.00037242167603311616,5.603033059742302e-08,b12268d3e39bab74b2c68d3f6a4cb34bb2a0ba06fb5b7ddccbbef95280e236b1
ImageNet ViT-9 local explanation,3,32,LeverageSHAP,0.004491965708975643,1.1102230246251565e-16,b12268d3e39bab74b2c68d3f6a4cb34bb2a0ba06fb5b7ddccbbef95280e236b1
ImageNet ViT-9 local explanation,3,48,ShaplEIG,0.00017542264750170506,1.0425055391727334e-06,b12268d3e39bab74b2c68d3f6a4cb34bb2a0ba06fb5b7ddccbbef95280e236b1
ImageNet ViT-9 local explanation,3,48,ShaplEIG-fixed,0.00017599503704065608,9.173744252244376e-06,b12268d3e39bab74b2c68d3f6a4cb34bb2a0ba06fb5b7ddccbbef95280e236b1
ImageNet ViT-9 local explanation,3,48,GP-random,0.000493607707737581,9.95635923928262e-07,b12268d3e39bab74b2c68d3f6a4cb34bb2a0ba06fb5b7ddccbbef95280e236b1
ImageNet ViT-9 local explanation,3,48,GP-uncertainty,0.0012147737003767689,4.843377928720471e-07,b12268d3e39bab74b2c68d3f6a4cb34bb2a0ba06fb5b7ddccbbef95280e236b1
ImageNet ViT-9 local explanation,3,48,GP-LeverageSHAP,0.0005350704009340002,8.20499384990292e-07,b12268d3e39bab74b2c68d3f6a4cb34bb2a0ba06fb5b7ddccbbef95280e236b1
ImageNet ViT-9 local explanation,3,48,KernelSHAP,0.00045808141084155055,5.004046843559706e-09,b12268d3e39bab74b2c68d3f6a4cb34bb2a0ba06fb5b7ddccbbef95280e236b1
ImageNet ViT-9 local explanation,3,48,SVARM,0.0009757913862336804,0.13964962968825123,b12268d3e39bab74b2c68d3f6a4cb34bb2a0ba06fb5b7ddccbbef95280e236b1
ImageNet ViT-9 local explanation,3,48,UnbiasedKernelSHAP,0.0004278483676315362,0.0,b12268d3e39bab74b2c68d3f6a4cb34bb2a0ba06fb5b7ddccbbef95280e236b1
ImageNet ViT-9 local explanation,3,48,PermutationSampling,0.0027152725913071915,0.0,b12268d3e39bab74b2c68d3f6a4cb34bb2a0ba06fb5b7ddccbbef95280e236b1
